356 2647
4 1001 312 608 1077
5 328 264 101 216 275
5 1389 1408 1485 1131 1133
5 405 284 361 576 380
5 95 1075 1083 218 407
5 115 523 150 241 5
5 753 1366 420 1333 85
5 1325 1347 1345 1350 1328
5 115 242 507 5 132
5 70 97 181 98 117
5 155 135 2 147 131
5 715 252 401 391 310
5 120 133 148 255 267
5 18 131 117 98 70
5 579 1458 2593 1984 2605
5 821 767 787 837 46
5 1701 1702 1703 1705 1704
5 68 282 17 1 49
5 24 21 82 59 37
5 86 274 104 138 297
5 40 54 128 94 25
5 193 254 192 167 193
5 365 122 103 1098 1131
5 1049 620 1365 92 1466
5 1678 263 923 1668 1664
5 182 109 349 28 80
5 511 494 199 232 338
5 169 223 220 209 332
5 311 453 126 203 245
5 43 142 202 295 328
5 746 722 721 732 289
5 98 181 97 96 117
5 63 28 80 1157 1064
5 184 224 219 179 154
5 109 182 579 28 409
5 726 2176 688 1206 215
5 729 422 426 720 571
5 221 86 138 274 102
5 328 101 275 164 376
5 459 467 543 343 226
5 192 185 639 148 98
5 40 54 55 94 128
5 100 102 274 138 297
5 135 13 131 147 50
5 1305 1310 564 1318 1144
5 119 168 121 151 161
5 523 507 132 115 9
5 72 63 28 109 302
5 225 222 185 192 42
5 31 30 67 68 98
5 249 124 2503 1210 1275
5 59 70 14 67 36
5 688 198 786 267 707
5 1124 1129 1107 1142 1150
5 304 163 11 128 40
5 799 363 364 551 159
5 449 440 1327 917 531
5 541 171 170 12 125
5 1 33 15 47 45
5 73 99 72 148 133
5 1 47 67 45 46
5 131 29 30 117 181
5 57 31 70 36 67
5 155 2 135 147 50
5 48 45 32 15 47
5 138 183 139 289 249
5 40 54 128 95 94
5 97 36 98 181 118
5 138 221 102 100 274
5 255 706 707 786 688
5 266 178 208 526 211
5 147 90 131 18 13
5 470 17 1 46 49
5 178 541 510 248 356
5 121 193 225 161 42
5 61 58 408 28 438
5 275 111 164 136 376
5 136 129 275 323 111
5 33 1 47 45 15
5 275 216 164 101 111
5 27 126 73 119 133
5 282 86 138 274 100
5 59 14 36 37 24
5 29 120 786 2143 786
5 132 454 505 507 115
5 611 464 118 181 22
5 33 15 2 82 67
5 148 2 31 18 509
5 1142 1180 1129 947 1162
5 17 46 48 33 1
5 104 297 274 138 282
5 264 164 216 101 136
5 109 187 3 28 461
5 80 109 917 28 973
5 335 369 438 903 562
5 304 173 54 756 128
5 184 154 194 179 224
5 420 109 461 28 187
5 279 323 164 136 275
5 252 715 311 391 453
5 437 674 577 498 289
5 197 297 274 102 221
5 196 183 138 104 249
5 255 688 786 255 706
5 616 739 614 743 740
5 1206 126 252 210 303
5 1 48 32 46 15
5 121 168 73 253 222
5 900 166 464 22 1040
5 221 274 297 100 102
5 67 68 97 98 70
5 109 973 182 51 28
5 185 161 42 1054 133
5 1000 1026 1034 1036 1062
5 412 90 319 20 852
5 1869 624 1020 1069 1048
5 433 443 397 513 476
5 72 182 462 28 481
5 323 275 164 376 136
5 565 266 3 1001 28
5 31 70 98 24 37
5 193 192 185 148 639
2 17 470
5 462 209 447 999 1323
5 86 100 297 102 274
5 1694 1690 1688 1681 1685
5 271 266 511 208 233
5 1096 948 1088 1187 944
5 288 217 358 456 537
5 488 629 794 803 808
5 253 120 254 151 225
5 147 131 90 14 59
5 292 137 376 279 180
5 948 1088 1096 622 345
5 102 242 241 293 9
5 46 47 33 48 1
5 285 124 748 259 1357
5 467 343 756 25 163
5 498 437 674 472 577
2 17 470
5 44 264 164 136 111
5 24 37 18 70 181
5 599 499 742 743 755
5 233 271 266 170 177
5 2504 1260 1321 1271 1872
5 119 140 133 148 98
5 1102 1103 594 663 514
5 1232 1295 1248 1299 585
5 161 185 225 192 167
5 93 1091 1093 1094 1097
5 5 274 314 150 241
5 27 120 73 133 148
5 623 203 205 237 245
5 1889 1893 1892 1894 1898
5 381 17 45 32 33
5 275 323 164 1087 376
5 236 292 180 277 376
5 33 1 47 45 15
5 145 7 177 63 28
5 2557 30 534 188 345
5 33 48 45 15 47
5 47 48 45 15 32
5 638 758 774 779 416
5 152 258 852 859 523
5 187 298 3 109 28
5 520 1365 85 594 514
5 1745 1755 1717 1726 1727
5 1325 1326 1328 1345 1347
5 72 80 109 182 999
5 714 291 1179 278 210
5 17 46 1 45 47
5 157 268 152 258 191
5 1119 1828 1098 1830 1833
5 1 46 47 45 15
5 139 274 221 345 274
5 30 67 68 155 2
5 197 179 221 641 102
5 101 111 275 164 275
5 233 262 271 23 266
5 713 30 732 721 289
5 182 3 28 466 109
5 1389 1408 1133 1131 564
5 421 623 218 95 281
5 225 168 161 151 185
5 166 151 185 253 192
5 28 1001 182 1081 80
5 234 4 26 81 26
5 418 902 912 848 148
5 1813 1541 2008 1866 1981
5 37 96 67 82 68
5 513 397 476 487 1985
5 49 46 48 49 32
5 523 144 269 157 859
5 2 202 142 67 295
5 944 1187 1042 948 1088
5 285 210 303 278 475
5 253 254 151 225 161
5 215 1206 688 385 125
5 310 252 432 715 311
5 36 131 31 13 10
5 459 467 343 543 226
5 507 241 132 242 5
5 28 1165 80 63 179
5 63 1969 345 1365 406
5 24 44 37 36 147
5 1 337 15 337 45
5 2092 903 788 762 997
5 1018 273 249 268 1028
5 70 36 37 181 59
5 98 319 97 117 181
5 245 11 252 432 246
5 1220 1257 1982 1245 1981
5 1098 727 754 1119 1133
5 14 50 1104 82 21
5 4 211 29 119 120
5 247 357 393 394 372
5 47 45 33 1 15
5 197 138 100 221 102
5 1291 109 182 299 148
5 292 180 236 296 376
5 67 164 142 323 11
5 117 24 98 36 197
5 135 131 13 1 45
5 42 161 1689 148 133
5 63 182 72 916 855
5 313 138 179 154 194
