1001 312 608 1077 
328 264 101 216 275 
1389 1408 1485 1131 1133 
405 284 361 576 380 
95 1075 1083 218 407 
115 523 150 241 5 
753 1366 420 1333 85 
1325 1347 1345 1350 1328 
115 242 507 5 132 
70 97 181 98 117 
155 135 2 147 131 
715 252 401 391 310 
120 133 148 255 267 
18 131 117 98 70 
579 1458 2593 1984 2605 
821 767 787 837 46 
1701 1702 1703 1705 1704 
68 282 17 1 49 
24 21 82 59 37 
86 274 104 138 297 
40 54 128 94 25 
193 254 192 167 193 
365 122 103 1098 1131 
1049 620 1365 92 1466 
1678 263 923 1668 1664 
182 109 349 28 80 
511 494 199 232 338 
169 223 220 209 332 
311 453 126 203 245 
43 142 202 295 328 
746 722 721 732 289 
98 181 97 96 117 
63 28 80 1157 1064 
184 224 219 179 154 
109 182 579 28 409 
726 2176 688 1206 215 
729 422 426 720 571 
221 86 138 274 102 
328 101 275 164 376 
459 467 543 343 226 
192 185 639 148 98 
40 54 55 94 128 
100 102 274 138 297 
135 13 131 147 50 
1305 1310 564 1318 1144 
119 168 121 151 161 
523 507 132 115 9 
72 63 28 109 302 
225 222 185 192 42 
31 30 67 68 98 
249 124 2503 1210 1275 
59 70 14 67 36 
688 198 786 267 707 
1124 1129 1107 1142 1150 
304 163 11 128 40 
799 363 364 551 159 
449 440 1327 917 531 
541 171 170 12 125 
1 33 15 47 45 
73 99 72 148 133 
1 47 67 45 46 
131 29 30 117 181 
57 31 70 36 67 
155 2 135 147 50 
48 45 32 15 47 
138 183 139 289 249 
40 54 128 95 94 
97 36 98 181 118 
138 221 102 100 274 
255 706 707 786 688 
266 178 208 526 211 
147 90 131 18 13 
470 17 1 46 49 
178 541 510 248 356 
121 193 225 161 42 
61 58 408 28 438 
275 111 164 136 376 
136 129 275 323 111 
33 1 47 45 15 
275 216 164 101 111 
27 126 73 119 133 
282 86 138 274 100 
59 14 36 37 24 
29 120 786 2143 786 
132 454 505 507 115 
611 464 118 181 22 
33 15 2 82 67 
148 2 31 18 509 
1142 1180 1129 947 1162 
17 46 48 33 1 
104 297 274 138 282 
264 164 216 101 136 
109 187 3 28 461 
80 109 917 28 973 
335 369 438 903 562 
304 173 54 756 128 
184 154 194 179 224 
420 109 461 28 187 
279 323 164 136 275 
252 715 311 391 453 
437 674 577 498 289 
197 297 274 102 221 
196 183 138 104 249 
255 688 786 255 706 
616 739 614 743 740 
1206 126 252 210 303 
1 48 32 46 15 
121 168 73 253 222 
900 166 464 22 1040 
221 274 297 100 102 
67 68 97 98 70 
109 973 182 51 28 
185 161 42 1054 133 
1000 1026 1034 1036 1062 
412 90 319 20 852 
1869 624 1020 1069 1048 
433 443 397 513 476 
72 182 462 28 481 
323 275 164 376 136 
565 266 3 1001 28 
31 70 98 24 37 
193 192 185 148 639 
17 470 
462 209 447 999 1323 
86 100 297 102 274 
1694 1690 1688 1681 1685 
271 266 511 208 233 
1096 948 1088 1187 944 
288 217 358 456 537 
488 629 794 803 808 
253 120 254 151 225 
147 131 90 14 59 
292 137 376 279 180 
948 1088 1096 622 345 
102 242 241 293 9 
46 47 33 48 1 
285 124 748 259 1357 
467 343 756 25 163 
498 437 674 472 577 
17 470 
44 264 164 136 111 
24 37 18 70 181 
599 499 742 743 755 
233 271 266 170 177 
2504 1260 1321 1271 1872 
119 140 133 148 98 
1102 1103 594 663 514 
1232 1295 1248 1299 585 
161 185 225 192 167 
93 1091 1093 1094 1097 
5 274 314 150 241 
27 120 73 133 148 
623 203 205 237 245 
1889 1893 1892 1894 1898 
381 17 45 32 33 
275 323 164 1087 376 
236 292 180 277 376 
33 1 47 45 15 
145 7 177 63 28 
2557 30 534 188 345 
33 48 45 15 47 
47 48 45 15 32 
638 758 774 779 416 
152 258 852 859 523 
187 298 3 109 28 
520 1365 85 594 514 
1745 1755 1717 1726 1727 
1325 1326 1328 1345 1347 
72 80 109 182 999 
714 291 1179 278 210 
17 46 1 45 47 
157 268 152 258 191 
1119 1828 1098 1830 1833 
1 46 47 45 15 
139 274 221 345 274 
30 67 68 155 2 
197 179 221 641 102 
101 111 275 164 275 
233 262 271 23 266 
713 30 732 721 289 
182 3 28 466 109 
1389 1408 1133 1131 564 
421 623 218 95 281 
225 168 161 151 185 
166 151 185 253 192 
28 1001 182 1081 80 
234 4 26 81 26 
418 902 912 848 148 
1813 1541 2008 1866 1981 
37 96 67 82 68 
513 397 476 487 1985 
49 46 48 49 32 
523 144 269 157 859 
2 202 142 67 295 
944 1187 1042 948 1088 
285 210 303 278 475 
253 254 151 225 161 
215 1206 688 385 125 
310 252 432 715 311 
36 131 31 13 10 
459 467 343 543 226 
507 241 132 242 5 
28 1165 80 63 179 
63 1969 345 1365 406 
24 44 37 36 147 
1 337 15 337 45 
2092 903 788 762 997 
1018 273 249 268 1028 
70 36 37 181 59 
98 319 97 117 181 
245 11 252 432 246 
1220 1257 1982 1245 1981 
1098 727 754 1119 1133 
14 50 1104 82 21 
4 211 29 119 120 
247 357 393 394 372 
47 45 33 1 15 
197 138 100 221 102 
1291 109 182 299 148 
292 180 236 296 376 
67 164 142 323 11 
117 24 98 36 197 
135 131 13 1 45 
42 161 1689 148 133 
63 182 72 916 855 
313 138 179 154 194 
33 45 46 15 32 
17 46 15 45 47 
328 376 111 101 323 
3 51 109 447 999 
31 2 98 57 117 
288 445 358 456 515 
63 182 72 461 28 
1172 426 284 439 644 
109 72 420 28 80 
55 128 54 40 95 
395 428 247 235 143 
46 49 45 32 15 
499 1933 1934 1938 1568 
1468 1461 1419 1434 1420 
17 470 
32 46 1 135 33 
46 49 32 48 47 
200 23 248 4 262 
175 233 266 130 461 
537 19 456 445 358 
713 732 721 289 746 
2526 2527 2456 2531 2456 
133 99 148 73 27 
277 180 296 236 322 
192 161 148 1380 133 
521 752 826 887 934 
104 274 100 297 221 
97 181 70 98 117 
541 171 252 391 33 
24 21 82 59 36 
99 133 27 119 73 
62 88 93 87 110 
102 100 297 641 221 
30 109 51 220 28 
478 501 503 1481 1488 
345 534 188 30 448 
274 297 100 522 313 
90 67 8 50 30 
345 2301 446 2300 28 
179 224 219 641 221 
2503 124 222 121 225 
15 49 32 46 33 
86 221 100 274 102 
132 505 9 5 115 
662 102 297 641 274 
815 1120 1111 1127 1122 
167 253 121 225 192 
210 291 278 475 285 
4 3 63 112 109 
297 454 313 507 115 
28 109 80 461 182 
8 31 97 138 139 
1262 872 1506 1169 1666 
471 131 113 18 324 
182 447 999 28 958 
242 314 9 115 17 
180 277 236 292 322 
150 507 293 241 132 
312 458 2646 575 450 
45 33 48 1 15 
77 237 246 11 245 
1098 1119 1131 1124 365 
48 1 45 32 47 
1479 1487 538 521 1494 
968 979 971 992 986 
510 338 199 211 23 
100 86 313 102 297 
89 127 298 461 420 
192 185 719 98 133 
101 129 275 323 111 
221 100 86 274 102 
138 221 100 102 297 
68 46 31 118 135 
337 522 100 313 297 
494 7 338 248 175 
328 376 323 101 111 
80 72 461 298 420 
275 111 101 136 164 
98 99 148 72 119 
908 894 860 931 941 
84 731 17 1554 726 
467 30 343 543 226 
72 330 182 28 80 
251 265 378 1592 188 
303 291 278 475 33 
297 708 766 1262 1506 
33 17 70 118 117 
264 376 275 136 164 
721 1133 1098 564 1131 
274 221 100 102 197 
164 136 101 111 323 
216 101 275 323 376 
183 156 249 289 196 
454 507 505 242 115 
220 209 737 447 999 
233 232 262 200 4 
17 470 1 47 470 
97 98 70 181 117 
254 151 193 161 192 
48 45 15 33 1 
2317 2335 2339 2316 2307 
166 73 225 161 192 
133 27 73 140 119 
740 742 743 755 616 
