#sequencies, Sigma, #items_per_sequence, #distinct_per_sequence, #occurence_on_sequence, Overall_Accur, #minPredictionRario, splitMethod, splitLength, noiseRatio, DatasetName
4865,494,11.227955,11.227955,1.0,0.32600206,0.0,1,0.1,0.8,BMS
730,267,93.00411,51.994522,1.78872905469491,0.31369862,0.0,1,0.1,0.8,SIGN
5000,17,10.7638,4.7462,2.267877459862627,0.5572,0.0,1,0.1,0.8,MSNBC
4933,5422,20.6045,16.704845,1.233444572538074,0.07155889,0.0,1,0.1,0.8,BIBLE_WORD
5000,74,133.01,26.0638,5.1032466486084145,0.0136,0.0,1,0.1,0.8,BIBLE_CHAR
45000,22422,28.425312,28.4252,1.0000039088946115,0.3185111,0.0,1,0.1,0.8,KOSARAK
5000,2612,40.1966,38.6178,1.0408827017592923,0.2022,0.0,1,0.1,0.8,FIFA
5000,4,11.6854,3.544,3.297234762979684,0.6776,0.0,1,0.1,0.8,SPICE0
5000,20,41.7752,14.2164,2.9385217073239356,0.2688,0.0,1,0.1,0.8,SPICE1
5000,10,42.1658,8.989,4.690822115919457,0.365,0.0,1,0.1,0.8,SPICE2
5000,10,42.6778,8.9474,4.769854929923777,0.2716,0.0,1,0.1,0.8,SPICE3
4854,31,8.174702,6.8127317,1.1999153285554447,0.578698,0.0,1,0.1,0.8,SPICE4
5000,48,119.9794,22.7796,5.2669669353281,1.0,0.0,1,0.1,0.8,SPICE5
4099,24,29.740181,11.156136,2.6658138161779177,0.2642108,0.0,1,0.1,0.8,SPICE6
5000,20,59.1826,16.5418,3.57776058228246,0.5492,0.0,1,0.1,0.8,SPICE7
5000,43,31.6762,12.3186,2.571412335817382,0.3806,0.0,1,0.1,0.8,SPICE8
4096,11,30.523682,6.3515625,4.805696494464945,0.47827148,0.0,1,0.1,0.8,SPICE9
5000,20,35.5188,15.8502,2.2409054775334063,0.4818,0.0,1,0.1,0.8,SPICE10
5000,2546,12.0796,10.8556,1.112752864880799,0.8604,0.0,1,0.1,0.8,SPICE11
5000,21,33.0404,14.0284,2.355250776995238,0.1182,0.0,1,0.1,0.8,SPICE12
5000,400,8.2306,7.193,1.1442513554844989,0.3526,0.0,1,0.1,0.8,SPICE13
5000,27,42.1762,12.7918,3.2971278475273222,0.304,0.0,1,0.1,0.8,SPICE14
5000,32,41.522,17.4818,2.375155876397167,0.168,0.0,1,0.1,0.8,SPICE15
4865,494,11.227955,11.227955,1.0,0.3266187,0.0,1,0.2,0.8,BMS
730,267,93.00411,51.994522,1.78872905469491,0.3219178,0.0,1,0.2,0.8,SIGN
5000,17,10.7638,4.7462,2.267877459862627,0.5544,0.0,1,0.2,0.8,MSNBC
4933,5422,20.6045,16.704845,1.233444572538074,0.071153454,0.0,1,0.2,0.8,BIBLE_WORD
5000,74,133.01,26.0638,5.1032466486084145,0.0152,0.0,1,0.2,0.8,BIBLE_CHAR
45000,22422,28.425312,28.4252,1.0000039088946115,0.31802222,0.0,1,0.2,0.8,KOSARAK
5000,2612,40.1966,38.6178,1.0408827017592923,0.203,0.0,1,0.2,0.8,FIFA
5000,4,11.6854,3.544,3.297234762979684,0.6776,0.0,1,0.2,0.8,SPICE0
5000,20,41.7752,14.2164,2.9385217073239356,0.2688,0.0,1,0.2,0.8,SPICE1
5000,10,42.1658,8.989,4.690822115919457,0.365,0.0,1,0.2,0.8,SPICE2
5000,10,42.6778,8.9474,4.769854929923777,0.2716,0.0,1,0.2,0.8,SPICE3
4854,31,8.174702,6.8127317,1.1999153285554447,0.578904,0.0,1,0.2,0.8,SPICE4
5000,48,119.9794,22.7796,5.2669669353281,1.0,0.0,1,0.2,0.8,SPICE5
4099,24,29.740181,11.156136,2.6658138161779177,0.2642108,0.0,1,0.2,0.8,SPICE6
5000,20,59.1826,16.5418,3.57776058228246,0.5492,0.0,1,0.2,0.8,SPICE7
5000,43,31.6762,12.3186,2.571412335817382,0.3806,0.0,1,0.2,0.8,SPICE8
4096,11,30.523682,6.3515625,4.805696494464945,0.4807129,0.0,1,0.2,0.8,SPICE9
5000,20,35.5188,15.8502,2.2409054775334063,0.4832,0.0,1,0.2,0.8,SPICE10
5000,2546,12.0796,10.8556,1.112752864880799,0.8586,0.0,1,0.2,0.8,SPICE11
5000,21,33.0404,14.0284,2.355250776995238,0.1182,0.0,1,0.2,0.8,SPICE12
5000,400,8.2306,7.193,1.1442513554844989,0.3502,0.0,1,0.2,0.8,SPICE13
5000,27,42.1762,12.7918,3.2971278475273222,0.3036,0.0,1,0.2,0.8,SPICE14
5000,32,41.522,17.4818,2.375155876397167,0.1686,0.0,1,0.2,0.8,SPICE15
4865,494,11.227955,11.227955,1.0,0.32065776,0.0,1,0.3,0.8,BMS
730,267,93.00411,51.994522,1.78872905469491,0.31232876,0.0,1,0.3,0.8,SIGN
5000,17,10.7638,4.7462,2.267877459862627,0.5556,0.0,1,0.3,0.8,MSNBC
4933,5422,20.6045,16.704845,1.233444572538074,0.073991485,0.0,1,0.3,0.8,BIBLE_WORD
5000,74,133.01,26.0638,5.1032466486084145,0.0118,0.0,1,0.3,0.8,BIBLE_CHAR
45000,22422,28.425312,28.4252,1.0000039088946115,0.3189111,0.0,1,0.3,0.8,KOSARAK
5000,2612,40.1966,38.6178,1.0408827017592923,0.2026,0.0,1,0.3,0.8,FIFA
5000,4,11.6854,3.544,3.297234762979684,0.6776,0.0,1,0.3,0.8,SPICE0
5000,20,41.7752,14.2164,2.9385217073239356,0.2688,0.0,1,0.3,0.8,SPICE1
5000,10,42.1658,8.989,4.690822115919457,0.365,0.0,1,0.3,0.8,SPICE2
